iter	Accuracy_SumError	Accuracy_SumWeight	MultiClass_SumError	MultiClass_SumWeight
0	1923	2100	2787.629539	2100
1	1935	2100	2664.538387	2100
2	1940	2100	2575.051923	2100
3	1968	2100	2478.45194	2100
4	1962	2100	2385.718997	2100
5	1964	2100	2295.931941	2100
6	1967	2100	2216.591219	2100
7	1963	2100	2142.925206	2100
8	1957	2100	2076.674744	2100
9	1965	2100	2011.174205	2100
10	1966	2100	1954.124182	2100
11	1964	2100	1891.119922	2100
12	1975	2100	1833.260889	2100
13	1974	2100	1780.41775	2100
14	1975	2100	1730.390116	2100
15	1982	2100	1677.955762	2100
16	1982	2100	1638.530197	2100
17	1989	2100	1588.163263	2100
18	1988	2100	1545.988426	2100
19	1984	2100	1506.471108	2100
20	1990	2100	1465.147521	2100
21	1992	2100	1429.093145	2100
22	1987	2100	1392.198212	2100
23	1989	2100	1356.934994	2100
24	1991	2100	1327.896432	2100
25	1994	2100	1295.731254	2100
26	1995	2100	1264.479623	2100
27	1998	2100	1233.241018	2100
28	1999	2100	1202.584401	2100
29	1999	2100	1177.217433	2100
30	1997	2100	1150.44143	2100
31	2000	2100	1125.53485	2100
32	2000	2100	1100.55299	2100
33	2001	2100	1079.148241	2100
34	2002	2100	1056.301821	2100
35	2005	2100	1035.209414	2100
36	2005	2100	1016.79676	2100
37	2005	2100	997.4988009	2100
38	2003	2100	977.1822094	2100
39	2005	2100	957.4061596	2100
40	2006	2100	938.0290348	2100
41	2006	2100	919.5525711	2100
42	2011	2100	901.4645308	2100
43	2011	2100	884.3400984	2100
44	2010	2100	867.2609225	2100
45	2011	2100	851.8535964	2100
46	2007	2100	836.0300325	2100
47	2010	2100	823.3517238	2100
48	2010	2100	809.9827602	2100
49	2013	2100	796.343835	2100
50	2012	2100	781.919298	2100
51	2011	2100	767.9081674	2100
52	2011	2100	753.7838282	2100
53	2011	2100	740.4473564	2100
54	2012	2100	726.7795224	2100
55	2010	2100	714.5820688	2100
56	2014	2100	703.7158636	2100
57	2014	2100	690.830358	2100
58	2014	2100	679.5760429	2100
59	2014	2100	669.6626191	2100
60	2014	2100	660.1030621	2100
61	2014	2100	649.5236318	2100
62	2017	2100	640.1269475	2100
63	2016	2100	630.9239518	2100
64	2016	2100	621.0353865	2100
65	2016	2100	611.4730552	2100
66	2017	2100	602.6774511	2100
67	2018	2100	593.5588529	2100
68	2019	2100	586.919393	2100
69	2021	2100	579.5887915	2100
70	2021	2100	571.9083656	2100
71	2022	2100	563.6702163	2100
72	2023	2100	556.7960161	2100
73	2022	2100	549.9615416	2100
74	2022	2100	542.8243028	2100
75	2021	2100	535.1469501	2100
76	2021	2100	527.5568884	2100
77	2021	2100	520.5025516	2100
78	2021	2100	514.1276002	2100
79	2021	2100	507.1332276	2100
80	2022	2100	500.5381024	2100
81	2022	2100	494.6125733	2100
82	2022	2100	488.973089	2100
83	2022	2100	483.6247968	2100
84	2023	2100	477.8255248	2100
85	2023	2100	472.8821379	2100
86	2023	2100	467.5759061	2100
87	2023	2100	463.2505845	2100
88	2023	2100	457.8422	2100
89	2024	2100	453.2645382	2100
90	2025	2100	447.9294001	2100
91	2025	2100	443.1832711	2100
92	2027	2100	438.5698235	2100
93	2027	2100	434.3827132	2100
94	2028	2100	429.4530991	2100
95	2028	2100	424.2689161	2100
96	2028	2100	419.970199	2100
97	2028	2100	415.3116319	2100
98	2028	2100	411.3935146	2100
99	2029	2100	406.8555046	2100
100	2029	2100	402.6219933	2100
101	2028	2100	398.3675701	2100
102	2029	2100	393.8897624	2100
103	2029	2100	390.6678679	2100
104	2029	2100	386.9834485	2100
105	2029	2100	382.9499529	2100
106	2029	2100	380.0560237	2100
107	2029	2100	376.1015807	2100
108	2030	2100	372.6728798	2100
109	2030	2100	369.3549141	2100
110	2029	2100	366.0964819	2100
111	2029	2100	363.3302986	2100
112	2030	2100	360.3349088	2100
113	2030	2100	357.4158164	2100
114	2030	2100	354.6518911	2100
115	2031	2100	351.8123344	2100
116	2032	2100	348.8510327	2100
117	2033	2100	345.9141068	2100
118	2034	2100	342.7004367	2100
119	2032	2100	339.6274571	2100
120	2034	2100	336.6344264	2100
121	2033	2100	333.6239162	2100
122	2035	2100	330.9989373	2100
123	2035	2100	327.8233026	2100
124	2035	2100	325.4104486	2100
125	2035	2100	323.315888	2100
126	2035	2100	320.7611611	2100
127	2035	2100	318.5775138	2100
128	2035	2100	316.267807	2100
129	2036	2100	313.8465699	2100
130	2036	2100	311.4577133	2100
131	2036	2100	309.0190085	2100
132	2037	2100	307.002299	2100
133	2037	2100	304.8402779	2100
134	2036	2100	302.1798678	2100
135	2037	2100	300.1634647	2100
136	2037	2100	297.5073259	2100
137	2039	2100	295.364884	2100
138	2038	2100	293.4787828	2100
139	2038	2100	291.0033334	2100
140	2039	2100	288.7971341	2100
141	2040	2100	286.8639753	2100
142	2041	2100	284.6335034	2100
143	2041	2100	282.3363492	2100
144	2042	2100	280.7297702	2100
145	2042	2100	279.334464	2100
146	2043	2100	277.3276288	2100
147	2043	2100	275.5794274	2100
148	2043	2100	273.2576484	2100
149	2044	2100	271.7307332	2100
150	2045	2100	269.8908432	2100
151	2046	2100	268.0035274	2100
152	2045	2100	266.3013493	2100
153	2047	2100	264.5846876	2100
154	2047	2100	262.8420294	2100
155	2047	2100	261.3263335	2100
156	2049	2100	259.4742544	2100
157	2049	2100	257.684316	2100
158	2051	2100	256.1945649	2100
159	2050	2100	254.412214	2100
160	2050	2100	252.9038059	2100
161	2050	2100	251.2628315	2100
162	2051	2100	249.9937211	2100
163	2051	2100	248.2904215	2100
164	2050	2100	247.1286414	2100
165	2051	2100	245.272579	2100
166	2054	2100	243.6982741	2100
167	2055	2100	242.0150037	2100
168	2055	2100	240.0509636	2100
169	2055	2100	238.7483054	2100
170	2054	2100	237.1414455	2100
171	2055	2100	235.8375043	2100
172	2055	2100	234.7208105	2100
173	2055	2100	232.9920155	2100
