iter	Passed	Remaining
0	176	353517
1	207	207694
2	239	159146
3	269	134298
4	298	119151
5	328	109237
6	358	102011
7	386	96323
8	417	92428
9	446	88902
10	478	86438
11	509	84435
12	543	83116
13	577	81881
14	611	80897
15	652	80877
16	686	80086
17	723	79677
18	757	79017
19	793	78543
20	826	77896
21	856	76972
22	886	76175
23	916	75421
24	945	74728
25	979	74344
26	1013	74035
27	1047	73780
28	1081	73489
29	1113	73100
30	1144	72696
31	1174	72248
32	1204	71780
33	1234	71372
34	1265	71032
35	1293	70579
36	1324	70257
37	1353	69876
38	1383	69540
39	1414	69306
40	1443	68950
41	1473	68675
42	1504	68468
43	1537	68362
44	1571	68292
45	1605	68177
46	1638	68087
47	1672	67995
48	1705	67917
49	1739	67849
50	1773	67760
51	1805	67621
52	1835	67422
53	1865	67212
54	1896	67069
55	1926	66860
56	1958	66747
57	1986	66514
58	2016	66333
59	2049	66276
60	2080	66142
61	2110	65959
62	2141	65836
63	2171	65685
64	2204	65631
65	2237	65579
66	2271	65525
67	2304	65464
68	2337	65412
69	2370	65366
70	2404	65326
71	2441	65385
72	2474	65329
73	2509	65302
74	2542	65268
75	2575	65207
76	2609	65165
77	2642	65106
78	2674	65044
79	2708	65002
80	2741	64953
81	2774	64900
82	2807	64835
83	2839	64762
84	2870	64681
85	2901	64567
86	2931	64450
87	2962	64366
88	2990	64218
89	3022	64146
90	3052	64030
91	3080	63876
92	3110	63787
93	3140	63668
94	3170	63572
95	3202	63511
96	3234	63447
97	3267	63409
98	3300	63372
99	3332	63324
100	3365	63284
101	3399	63255
102	3432	63226
103	3465	63187
104	3498	63147
105	3531	63102
106	3564	63054
107	3596	63012
108	3630	62981
109	3662	62929
110	3690	62803
111	3721	62731
112	3753	62672
113	3781	62552
114	3812	62491
115	3841	62386
116	3872	62317
117	3899	62199
118	3931	62136
119	3961	62065
120	3991	61978
121	4020	61882
122	4050	61813
123	4081	61750
124	4110	61658
125	4141	61599
126	4169	61496
127	4200	61432
128	4231	61369
129	4261	61303
130	4292	61245
131	4321	61161
132	4352	61101
133	4383	61038
134	4413	60969
135	4444	60910
136	4473	60830
137	4504	60775
138	4535	60720
139	4564	60648
140	4593	60563
141	4623	60497
142	4653	60424
143	4682	60353
144	4712	60287
145	4743	60232
146	4773	60171
147	4805	60129
148	4833	60049
149	4866	60025
150	4900	60001
151	4936	60014
152	4968	59973
153	5000	59946
154	5033	59918
155	5065	59882
156	5099	59856
157	5132	59833
158	5163	59788
159	5196	59757
160	5228	59725
161	5261	59700
162	5292	59651
163	5325	59614
164	5353	59540
165	5383	59477
166	5411	59399
167	5441	59340
168	5473	59301
169	5501	59216
170	5533	59182
171	5561	59107
172	5593	59070
173	5621	58994
174	5653	58955
175	5685	58925
176	5717	58885
177	5750	58861
178	5783	58834
179	5815	58805
180	5848	58775
181	5880	58736
182	5913	58717
183	5945	58680
184	5977	58645
185	6010	58614
186	6042	58581
187	6074	58544
188	6106	58514
189	6139	58490
190	6173	58468
191	6204	58429
192	6237	58400
193	6269	58363
194	6302	58342
195	6335	58308
196	6368	58285
197	6401	58256
198	6434	58232
199	6467	58207
200	6499	58168
201	6534	58162
202	6567	58141
203	6600	58111
204	6633	58079
205	6665	58049
206	6698	58018
207	6730	57985
208	6761	57939
209	6793	57907
210	6826	57879
211	6859	57849
212	6893	57832
213	6922	57771
214	6954	57735
215	6987	57713
216	7017	57658
217	7048	57614
218	7078	57562
219	7107	57509
220	7138	57462
221	7167	57402
222	7199	57371
223	7233	57348
224	7265	57320
225	7298	57289
226	7332	57267
227	7364	57236
228	7396	57203
229	7430	57182
230	7460	57132
231	7490	57083
232	7521	57043
233	7551	56988
234	7581	56942
235	7612	56898
236	7642	56852
237	7672	56801
238	7704	56767
239	7734	56722
240	7764	56673
241	7794	56624
242	7824	56574
243	7855	56533
244	7885	56483
245	7915	56438
246	7946	56400
247	7976	56349
248	8005	56298
249	8036	56255
250	8066	56211
251	8096	56159
252	8127	56118
253	8157	56075
254	8188	56032
255	8217	55980
256	8247	55936
257	8278	55897
258	8311	55867
259	8340	55819
260	8370	55770
261	8399	55719
262	8430	55676
263	8459	55629
264	8489	55583
265	8521	55549
266	8550	55495
267	8581	55457
268	8610	55407
269	8641	55370
270	8671	55327
271	8702	55284
272	8732	55243
273	8762	55195
274	8792	55150
275	8821	55100
276	8852	55062
277	8881	55016
278	8911	54969
279	8942	54931
280	8972	54891
281	9002	54845
282	9032	54800
283	9061	54753
284	9092	54714
285	9123	54675
286	9154	54638
287	9185	54601
288	9216	54566
289	9245	54517
290	9276	54480
291	9306	54437
292	9336	54391
293	9367	54357
294	9396	54308
295	9425	54261
296	9458	54232
297	9489	54200
298	9521	54166
299	9560	54175
300	9593	54149
301	9626	54122
302	9658	54094
303	9691	54068
304	9724	54040
305	9758	54019
306	9789	53987
307	9821	53955
308	9850	53907
309	9880	53866
310	9910	53823
311	9941	53783
312	9970	53739
313	10001	53704
314	10031	53658
315	10061	53620
316	10091	53577
317	10121	53537
318	10153	53506
319	10183	53462
320	10212	53416
321	10242	53378
322	10275	53349
323	10307	53321
324	10340	53292
325	10372	53263
326	10405	53237
327	10438	53212
328	10471	53184
329	10504	53158
330	10537	53132
331	10569	53103
332	10602	53078
333	10636	53055
334	10668	53025
335	10700	52994
336	10733	52966
337	10767	52943
338	10798	52911
339	10831	52882
340	10864	52855
341	10897	52829
342	10930	52801
343	10962	52771
344	10994	52742
345	11027	52714
346	11058	52680
347	11091	52654
348	11123	52619
349	11152	52577
350	11181	52532
351	11211	52490
352	11240	52445
353	11270	52404
354	11298	52355
355	11329	52319
356	11358	52274
357	11387	52227
358	11418	52193
359	11447	52149
360	11477	52111
361	11505	52061
362	11535	52022
363	11565	51981
364	11595	51939
365	11625	51903
366	11657	51869
367	11686	51826
368	11716	51787
369	11745	51743
370	11775	51705
371	11805	51664
372	11835	51623
373	11865	51586
374	11893	51540
375	11926	51510
376	11955	51470
377	11989	51445
378	12021	51416
379	12053	51386
380	12084	51352
381	12117	51325
382	12150	51296
383	12182	51267
384	12214	51239
385	12247	51212
386	12281	51189
387	12318	51177
388	12350	51148
389	12383	51122
390	12416	51093
391	12448	51064
392	12481	51037
393	12513	51008
394	12546	50978
395	12577	50944
396	12610	50919
397	12640	50881
398	12671	50843
399	12700	50801
400	12729	50759
401	12760	50724
402	12791	50689
403	12821	50650
404	12850	50609
405	12881	50574
406	12913	50545
407	12946	50516
408	12979	50490
409	13012	50462
410	13045	50436
411	13077	50405
412	13109	50375
413	13141	50345
414	13173	50314
415	13206	50285
416	13236	50247
417	13267	50213
418	13296	50170
419	13327	50135
420	13358	50103
421	13390	50069
422	13419	50029
423	13450	49994
424	13480	49957
425	13511	49921
426	13540	49881
427	13571	49847
428	13601	49807
429	13631	49772
430	13661	49731
431	13692	49697
432	13722	49662
433	13755	49633
434	13783	49590
435	13814	49554
436	13845	49522
437	13876	49485
438	13907	49451
439	13937	49413
440	13966	49375
441	13997	49340
442	14027	49301
443	14057	49265
444	14087	49228
445	14118	49194
446	14148	49156
447	14177	49114
448	14207	49078
449	14238	49042
450	14267	49004
451	14297	48965
452	14328	48932
453	14358	48896
454	14388	48859
455	14419	48825
456	14449	48787
457	14481	48756
458	14510	48716
459	14540	48679
460	14570	48640
461	14599	48601
462	14629	48565
463	14660	48530
464	14689	48491
465	14720	48456
466	14750	48419
467	14780	48384
468	14814	48360
469	14845	48326
470	14875	48290
471	14906	48257
472	14935	48216
473	14966	48183
474	14997	48151
475	15029	48120
476	15061	48090
477	15094	48062
478	15126	48032
479	15159	48003
480	15191	47975
481	15224	47948
482	15257	47920
483	15289	47891
484	15322	47862
485	15354	47833
486	15386	47803
487	15420	47777
488	15452	47749
489	15485	47719
490	15515	47683
491	15544	47644
492	15574	47609
493	15605	47573
494	15633	47532
495	15663	47496
496	15695	47465
497	15723	47424
498	15754	47388
499	15783	47351
500	15814	47316
501	15845	47283
502	15876	47251
503	15906	47213
504	15936	47179
505	15967	47146
506	15998	47110
507	16028	47075
508	16058	47038
509	16087	47002
510	16116	46962
511	16146	46924
512	16175	46887
513	16208	46858
514	16237	46819
515	16267	46785
516	16296	46745
517	16328	46715
518	16358	46678
519	16386	46638
520	16416	46602
521	16448	46572
522	16478	46537
523	16511	46508
524	16542	46475
525	16573	46442
526	16604	46411
527	16635	46376
528	16665	46342
529	16698	46315
530	16728	46278
531	16760	46248
532	16790	46213
533	16821	46180
534	16852	46148
535	16883	46115
536	16914	46082
537	16945	46047
538	16975	46012
539	17005	45978
540	17037	45947
541	17068	45915
542	17100	45884
543	17129	45847
544	17161	45815
545	17190	45779
546	17222	45749
547	17254	45718
548	17283	45681
549	17316	45653
550	17345	45615
551	17376	45581
552	17407	45550
553	17437	45513
554	17467	45478
555	17497	45443
556	17527	45408
557	17559	45377
558	17589	45342
